SWIDTH	SLENGTH	h1#03
5.47368	4.21053	0.0543764
5.89474	4.21053	0.0192119
6.31579	4.21053	0.00560326
6.73684	4.21053	0.00134903
7.15789	4.21053	0.000268112
7.57895	4.21053	4.39867e-05
8	4.21053	5.95714e-06
0	4.73684	0.00109871
0.421053	4.73684	0.00469672
0.842105	4.73684	0.0165736
1.26316	4.73684	0.0482782
1.68421	4.73684	0.116091
2.10526	4.73684	0.230438
2.52632	4.73684	0.377591
2.94737	4.73684	0.510742
3.36842	4.73684	0.570285
3.78947	4.73684	0.525647
4.21053	4.73684	0.399952
4.63158	4.73684	0.251208
5.05263	4.73684	0.130248
5.47368	4.73684	0.0557465
5.89474	4.73684	0.019696
6.31579	4.73684	0.00574444
6.73684	4.73684	0.00138303
7.15789	4.73684	0.000274868
7.57895	4.73684	4.5095e-05
8	4.73684	6.10724e-06
0	5.26316	0.00101545
0.421053	5.26316	0.00434082
0.842105	5.26316	0.0153177
1.26316	5.26316	0.0446199
1.68421	5.26316	0.107294
2.10526	5.26316	0.212976
2.52632	5.26316	0.348978
2.94737	5.26316	0.472039
3.36842	5.26316	0.527071
3.78947	5.26316	0.485815
4.21053	5.26316	0.369645
4.63158	5.26316	0.232172
5.05263	5.26316	0.120378
5.47368	5.26316	0.0515222
5.89474	5.26316	0.0182035
6.31579	5.26316	0.00530915
6.73684	5.26316	0.00127822
7.15789	5.26316	0.000254039
7.57895	5.26316	4.16779e-05
8	5.26316	5.64445e-06
0	5.78947	0.000846071
0.421053	5.78947	0.00361674
0.842105	5.78947	0.0127626
1.26316	5.78947	0.037177
1.68421	5.78947	0.0893963
2.10526	5.78947	0.17745
2.52632	5.78947	0.290767
2.94737	5.78947	0.3933
3.36842	5.78947	0.439152
3.78947	5.78947	0.404779
4.21053	5.78947	0.307986
4.63158	5.78947	0.193444
5.05263	5.78947	0.100298
5.47368	5.78947	0.042928
5.89474	5.78947	0.015167
6.31579	5.78947	0.00442355
6.73684	5.78947	0.00106501
7.15789	5.78947	0.000211664
7.57895	5.78947	3.47257e-05
8	5.78947	4.70292e-06
0	6.31579	0.00063551
0.421053	6.31579	0.00271665
0.842105	6.31579	0.00958641
1.26316	6.31579	0.0279248
1.68421	6.31579	0.0671483
2.10526	6.31579	0.133288
2.52632	6.31579	0.218404
2.94737	6.31579	0.29542
3.36842	6.31579	0.329861
3.78947	6.31579	0.304042
4.21053	6.31579	0.231338
4.63158	6.31579	0.145302
5.05263	6.31579	0.075337
5.47368	6.31579	0.0322446
5.89474	6.31579	0.0113924
6.31579	6.31579	0.00332266
6.73684	6.31579	0.000799961
7.15789	6.31579	0.000158987
7.57895	6.31579	2.60836e-05
8	6.31579	3.53251e-06
0	6.84211	0.000430336
0.421053	6.84211	0.00183958
0.842105	6.84211	0.00649144
1.26316	6.84211	0.0189093
1.68421	6.84211	0.0454695
2.10526	6.84211	0.0902562
2.52632	6.84211	0.147892
2.94737	6.84211	0.200044
3.36842	6.84211	0.223365
3.78947	6.84211	0.205882
4.21053	6.84211	0.15665
4.63158	6.84211	0.0983913
5.05263	6.84211	0.0510145
5.47368	6.84211	0.0218344
5.89474	6.84211	0.00771437
6.31579	6.84211	0.00224994
6.73684	6.84211	0.000541693
7.15789	6.84211	0.000107658
7.57895	6.84211	1.76625e-05
8	6.84211	2.39204e-06
0	7.36842	0.000262701
0.421053	7.36842	0.00112298
0.842105	7.36842	0.00396274
1.26316	7.36842	0.0115433
1.68421	7.36842	0.0277571
2.10526	7.36842	0.0550974
2.52632	7.36842	0.0902816
2.94737	7.36842	0.122118
3.36842	7.36842	0.136355
3.78947	7.36842	0.125682
4.21053	7.36842	0.0956282
4.63158	7.36842	0.0600636
5.05263	7.36842	0.0311421
5.47368	7.36842	0.0133289
5.89474	7.36842	0.00470929
6.31579	7.36842	0.00137349
6.73684	7.36842	0.00033068
7.15789	7.36842	6.57206e-05
7.57895	7.36842	1.07822e-05
8	7.36842	1.46023e-06
0	7.89474	0.000144572
0.421053	7.89474	0.000618011
0.842105	7.89474	0.00218082
1.26316	7.89474	0.00635262
1.68421	7.89474	0.0152756
2.10526	7.89474	0.0303218
2.52632	7.89474	0.0496848
2.94737	7.89474	0.0672052
3.36842	7.89474	0.0750401
3.78947	7.89474	0.0691665
4.21053	7.89474	0.0526271
4.63158	7.89474	0.0330548
5.05263	7.89474	0.0171384
5.47368	7.89474	0.00733533
5.89474	7.89474	0.00259166
6.31579	7.89474	0.000755874
6.73684	7.89474	0.000181983
7.15789	7.89474	3.61681e-05
7.57895	7.89474	5.93376e-06
8	7.89474	8.03612e-07
0	8.42105	7.17263e-05
0.421053	8.42105	0.000306612
0.842105	8.42105	0.00108196
1.26316	8.42105	0.00315171
1.68421	8.42105	0.00757864
2.10526	8.42105	0.0150435
2.52632	8.42105	0.02465
2.94737	8.42105	0.0333423
3.36842	8.42105	0.0372295
3.78947	8.42105	0.0343154
4.21053	8.42105	0.0261098
4.63158	8.42105	0.0163994
5.05263	8.42105	0.00850285
5.47368	8.42105	0.00363926
5.89474	8.42105	0.0012858
6.31579	8.42105	0.00037501
6.73684	8.42105	9.02869e-05
7.15789	8.42105	1.7944e-05
7.57895	8.42105	2.9439e-06
8	8.42105	3.98694e-07
0	8.94737	3.20805e-05
0.421053	8.94737	0.000137136
0.842105	8.94737	0.000483921
1.26316	8.94737	0.00140964
1.68421	8.94737	0.00338964
2.10526	8.94737	0.00672838
2.52632	8.94737	0.011025
2.94737	8.94737	0.0149128
3.36842	8.94737	0.0166513
3.78947	8.94737	0.015348
4.21053	8.94737	0.0116779
4.63158	8.94737	0.00733484
5.05263	8.94737	0.00380301
5.47368	8.94737	0.0016277
5.89474	8.94737	0.000575088
6.31579	8.94737	0.000167728
6.73684	8.94737	4.03819e-05
7.15789	8.94737	8.02566e-06
7.57895	8.94737	1.3167e-06
8	8.94737	1.78321e-07
0	9.47368	1.29352e-05
0.421053	9.47368	5.52948e-05
0.842105	9.47368	0.000195122
1.26316	9.47368	0.000568382
1.68421	9.47368	0.00136674
2.10526	9.47368	0.00271296
2.52632	9.47368	0.0044454
2.94737	9.47368	0.00601299
3.36842	9.47368	0.006714
3.78947	9.47368	0.00618847
4.21053	9.47368	0.00470866
4.63158	9.47368	0.00295748
5.05263	9.47368	0.00153341
5.47368	9.47368	0.000656307
5.89474	9.47368	0.000231882
6.31579	9.47368	6.76296e-05
6.73684	9.47368	1.62824e-05
7.15789	9.47368	3.23603e-06
7.57895	9.47368	5.30906e-07
8	9.47368	7.19009e-08
0	10	4.70191e-06
0.421053	10	2.00995e-05
0.842105	10	7.09264e-05
1.26316	10	0.000206605
1.68421	10	0.000496806
2.10526	10	0.000986152
2.52632	10	0.00161589
2.94737	10	0.00218571
3.36842	10	0.00244052
3.78947	10	0.00224949
4.21053	10	0.00171159
4.63158	10	0.00107504
5.05263	10	0.000557392
5.47368	10	0.000238566
5.89474	10	8.42884e-05
6.31579	10	2.45832e-05
6.73684	10	5.91862e-06
7.15789	10	1.17629e-06
7.57895	10	1.92983e-07
8	10	2.61358e-08
